Command line
python /work02/home/wangzihan/anaconda3/envs/chemprop/bin/chemprop_train --target_columns solv1 --data_path ./data/GCN_data_withN/GCN_data_train.csv --separate_val_path ./data/GCN_data_withN/GCN_data_val.csv --separate_test_path ./data/GCN_data_withN/GCN_data_test.csv --dataset_type multiclass --multiclass_num_classes 542 --save_dir ./data/new_models_1/GCN_solv1_withN --reaction --extra_metrics accuracy top3 --epochs 35
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': './data/GCN_data_withN/GCN_data_train.csv',
 'data_weights_path': None,
 'dataset_type': 'multiclass',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 35,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': ['accuracy', 'top3'],
 'features_generator': None,
 'features_only': False,
 'features_path': None,
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'cross_entropy',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'cross_entropy',
 'metrics': ['cross_entropy', 'accuracy', 'top3'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 542,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quiet': False,
 'reaction': True,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': './data/new_models_1/GCN_solv1_withN',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': None,
 'separate_test_path': './data/GCN_data_withN/GCN_data_test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': None,
 'separate_val_path': './data/GCN_data_withN/GCN_data_val.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['reaction'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['solv1'],
 'target_weights': None,
 'task_names': ['solv1'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': False,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 552,695 | train size = 552,695 | val size = 69,087 | test size = 69,087
Building model 0
MoleculeModel(
  (multiclass_softmax): Softmax(dim=2)
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=193, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=465, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=300, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=542, bias=True)
  )
)
Number of parameters = 541,442
Moving model to cuda
Epoch 0
Loss = 5.6262e+00, PNorm = 39.7927, GNorm = 6.9758, lr_0 = 1.0045e-04
Loss = 4.2876e+00, PNorm = 39.8043, GNorm = 11.7595, lr_0 = 1.0085e-04
Loss = 2.5576e+00, PNorm = 39.8228, GNorm = 6.7293, lr_0 = 1.0126e-04
Loss = 1.6261e+00, PNorm = 39.8370, GNorm = 4.7482, lr_0 = 1.0167e-04
Loss = 1.7448e+00, PNorm = 39.8379, GNorm = 7.2264, lr_0 = 1.0208e-04
Loss = 1.4372e+00, PNorm = 39.8377, GNorm = 3.4431, lr_0 = 1.0248e-04
Loss = 1.3248e+00, PNorm = 39.8450, GNorm = 1.5504, lr_0 = 1.0289e-04
Loss = 1.2329e+00, PNorm = 39.8550, GNorm = 4.9710, lr_0 = 1.0330e-04
Loss = 9.7867e-01, PNorm = 39.8641, GNorm = 1.8745, lr_0 = 1.0370e-04
Loss = 1.1942e+00, PNorm = 39.8725, GNorm = 1.8705, lr_0 = 1.0411e-04
Loss = 1.0262e+00, PNorm = 39.8817, GNorm = 1.9391, lr_0 = 1.0452e-04
Loss = 1.0383e+00, PNorm = 39.8918, GNorm = 1.4555, lr_0 = 1.0493e-04
Loss = 1.0099e+00, PNorm = 39.9010, GNorm = 3.0781, lr_0 = 1.0533e-04
Loss = 1.0829e+00, PNorm = 39.9115, GNorm = 2.6443, lr_0 = 1.0574e-04
Loss = 8.0594e-01, PNorm = 39.9228, GNorm = 3.3045, lr_0 = 1.0615e-04
Loss = 9.2213e-01, PNorm = 39.9296, GNorm = 1.6784, lr_0 = 1.0655e-04
Loss = 8.6910e-01, PNorm = 39.9380, GNorm = 2.1614, lr_0 = 1.0696e-04
Loss = 8.4472e-01, PNorm = 39.9477, GNorm = 5.0004, lr_0 = 1.0737e-04
Loss = 1.1477e+00, PNorm = 39.9545, GNorm = 4.6258, lr_0 = 1.0778e-04
Loss = 8.8495e-01, PNorm = 39.9663, GNorm = 1.8417, lr_0 = 1.0818e-04
Loss = 8.7622e-01, PNorm = 39.9752, GNorm = 2.3123, lr_0 = 1.0859e-04
Loss = 8.4142e-01, PNorm = 39.9855, GNorm = 1.5123, lr_0 = 1.0900e-04
Loss = 9.3305e-01, PNorm = 39.9953, GNorm = 4.5308, lr_0 = 1.0940e-04
Loss = 9.0052e-01, PNorm = 40.0020, GNorm = 1.8697, lr_0 = 1.0981e-04
Loss = 9.5912e-01, PNorm = 40.0114, GNorm = 1.3611, lr_0 = 1.1022e-04
Loss = 8.7326e-01, PNorm = 40.0212, GNorm = 5.9952, lr_0 = 1.1063e-04
Loss = 7.4299e-01, PNorm = 40.0305, GNorm = 1.4829, lr_0 = 1.1103e-04
Loss = 9.5909e-01, PNorm = 40.0382, GNorm = 3.0260, lr_0 = 1.1144e-04
Loss = 9.1929e-01, PNorm = 40.0464, GNorm = 2.3873, lr_0 = 1.1185e-04
Loss = 8.2858e-01, PNorm = 40.0558, GNorm = 1.7149, lr_0 = 1.1225e-04
Loss = 8.3106e-01, PNorm = 40.0653, GNorm = 4.8645, lr_0 = 1.1266e-04
Loss = 8.4136e-01, PNorm = 40.0743, GNorm = 5.6670, lr_0 = 1.1307e-04
Loss = 9.5702e-01, PNorm = 40.0843, GNorm = 1.5611, lr_0 = 1.1348e-04
Loss = 1.0176e+00, PNorm = 40.0943, GNorm = 1.4725, lr_0 = 1.1388e-04
Loss = 8.3797e-01, PNorm = 40.1054, GNorm = 2.2038, lr_0 = 1.1429e-04
Loss = 9.6414e-01, PNorm = 40.1156, GNorm = 3.5800, lr_0 = 1.1470e-04
Loss = 8.6429e-01, PNorm = 40.1270, GNorm = 3.6210, lr_0 = 1.1510e-04
Loss = 8.2804e-01, PNorm = 40.1371, GNorm = 1.1879, lr_0 = 1.1551e-04
Loss = 8.2004e-01, PNorm = 40.1470, GNorm = 1.8927, lr_0 = 1.1592e-04
Loss = 8.4844e-01, PNorm = 40.1543, GNorm = 1.5310, lr_0 = 1.1633e-04
Loss = 1.0278e+00, PNorm = 40.1615, GNorm = 2.9954, lr_0 = 1.1673e-04
Loss = 8.3118e-01, PNorm = 40.1722, GNorm = 1.9359, lr_0 = 1.1714e-04
Loss = 8.8109e-01, PNorm = 40.1823, GNorm = 1.8961, lr_0 = 1.1755e-04
Loss = 9.1280e-01, PNorm = 40.1944, GNorm = 1.6599, lr_0 = 1.1795e-04
Loss = 7.4431e-01, PNorm = 40.2096, GNorm = 1.2270, lr_0 = 1.1836e-04
Loss = 9.9494e-01, PNorm = 40.2198, GNorm = 3.6108, lr_0 = 1.1877e-04
Loss = 7.6420e-01, PNorm = 40.2328, GNorm = 1.0825, lr_0 = 1.1918e-04
Loss = 8.4980e-01, PNorm = 40.2429, GNorm = 1.4225, lr_0 = 1.1958e-04
Loss = 9.1774e-01, PNorm = 40.2557, GNorm = 1.4431, lr_0 = 1.1999e-04
Loss = 9.4239e-01, PNorm = 40.2637, GNorm = 2.0968, lr_0 = 1.2040e-04
Loss = 1.0279e+00, PNorm = 40.2747, GNorm = 2.4804, lr_0 = 1.2080e-04
Loss = 9.4705e-01, PNorm = 40.2854, GNorm = 1.8162, lr_0 = 1.2121e-04
Loss = 8.8155e-01, PNorm = 40.2963, GNorm = 1.9780, lr_0 = 1.2162e-04
Loss = 9.8450e-01, PNorm = 40.3062, GNorm = 2.3384, lr_0 = 1.2203e-04
Loss = 9.1619e-01, PNorm = 40.3192, GNorm = 2.1819, lr_0 = 1.2243e-04
Loss = 7.8492e-01, PNorm = 40.3295, GNorm = 4.2480, lr_0 = 1.2284e-04
Loss = 9.3069e-01, PNorm = 40.3403, GNorm = 1.2719, lr_0 = 1.2325e-04
Loss = 9.2301e-01, PNorm = 40.3499, GNorm = 1.3106, lr_0 = 1.2365e-04
Loss = 8.4232e-01, PNorm = 40.3595, GNorm = 1.3479, lr_0 = 1.2406e-04
Loss = 8.8821e-01, PNorm = 40.3671, GNorm = 2.0396, lr_0 = 1.2447e-04
Loss = 8.2558e-01, PNorm = 40.3739, GNorm = 2.5490, lr_0 = 1.2488e-04
Loss = 8.5983e-01, PNorm = 40.3824, GNorm = 1.7559, lr_0 = 1.2528e-04
Loss = 9.1205e-01, PNorm = 40.3987, GNorm = 1.4650, lr_0 = 1.2569e-04
Loss = 8.2728e-01, PNorm = 40.4119, GNorm = 1.6499, lr_0 = 1.2610e-04
Loss = 8.2838e-01, PNorm = 40.4253, GNorm = 2.1040, lr_0 = 1.2650e-04
Loss = 7.8649e-01, PNorm = 40.4380, GNorm = 1.9206, lr_0 = 1.2691e-04
Loss = 7.3521e-01, PNorm = 40.4522, GNorm = 1.9792, lr_0 = 1.2732e-04
Loss = 8.3208e-01, PNorm = 40.4621, GNorm = 1.8012, lr_0 = 1.2773e-04
Loss = 8.0489e-01, PNorm = 40.4779, GNorm = 2.6506, lr_0 = 1.2813e-04
Loss = 8.2843e-01, PNorm = 40.4884, GNorm = 1.1975, lr_0 = 1.2854e-04
Loss = 8.1655e-01, PNorm = 40.5017, GNorm = 1.3928, lr_0 = 1.2895e-04
Loss = 8.8642e-01, PNorm = 40.5132, GNorm = 1.7821, lr_0 = 1.2935e-04
Loss = 6.7887e-01, PNorm = 40.5258, GNorm = 1.9111, lr_0 = 1.2976e-04
