Command line
python /work02/home/wangzihan/anaconda3/envs/chemprop/bin/chemprop_train --target_columns solv1 --data_path ./data/MPNN_data/GCN_data_train.csv --separate_val_path ./data/MPNN_data/GCN_data_val.csv --separate_test_path ./data/MPNN_data/GCN_data_test.csv --dataset_type multiclass --multiclass_num_classes 542 --save_dir ./models_ts/GCN_solv1 --reaction --extra_metrics accuracy --epochs 15
Args
{'activation': 'ReLU',
 'adding_bond_types': True,
 'adding_h': False,
 'aggregation': 'mean',
 'aggregation_norm': 100,
 'atom_constraints': [],
 'atom_descriptor_scaling': True,
 'atom_descriptors': None,
 'atom_descriptors_path': None,
 'atom_descriptors_size': 0,
 'atom_features_size': 0,
 'atom_messages': False,
 'atom_targets': [],
 'batch_size': 50,
 'bias': False,
 'bias_solvent': False,
 'bond_constraints': [],
 'bond_descriptor_scaling': True,
 'bond_descriptors': None,
 'bond_descriptors_path': None,
 'bond_descriptors_size': 0,
 'bond_features_size': 0,
 'bond_targets': [],
 'cache_cutoff': 10000,
 'checkpoint_dir': None,
 'checkpoint_frzn': None,
 'checkpoint_path': None,
 'checkpoint_paths': None,
 'class_balance': False,
 'config_path': None,
 'constraints_path': None,
 'crossval_index_dir': None,
 'crossval_index_file': None,
 'crossval_index_sets': None,
 'cuda': True,
 'data_path': './data/MPNN_data/GCN_data_train.csv',
 'data_weights_path': None,
 'dataset_type': 'multiclass',
 'depth': 3,
 'depth_solvent': 3,
 'device': device(type='cuda'),
 'dropout': 0.0,
 'empty_cache': False,
 'ensemble_size': 1,
 'epochs': 15,
 'evidential_regularization': 0,
 'explicit_h': False,
 'extra_metrics': ['accuracy'],
 'features_generator': None,
 'features_only': False,
 'features_path': None,
 'features_scaling': True,
 'features_size': None,
 'ffn_hidden_size': 300,
 'ffn_num_layers': 2,
 'final_lr': 0.0001,
 'folds_file': None,
 'freeze_first_only': False,
 'frzn_ffn_layers': 0,
 'gpu': None,
 'grad_clip': None,
 'hidden_size': 300,
 'hidden_size_solvent': 300,
 'ignore_columns': None,
 'init_lr': 0.0001,
 'is_atom_bond_targets': False,
 'keeping_atom_map': False,
 'log_frequency': 10,
 'loss_function': 'cross_entropy',
 'max_data_size': None,
 'max_lr': 0.001,
 'metric': 'cross_entropy',
 'metrics': ['cross_entropy', 'accuracy'],
 'minimize_score': True,
 'mpn_shared': False,
 'multiclass_num_classes': 542,
 'no_adding_bond_types': False,
 'no_atom_descriptor_scaling': False,
 'no_bond_descriptor_scaling': False,
 'no_cache_mol': False,
 'no_cuda': False,
 'no_features_scaling': False,
 'no_shared_atom_bond_ffn': False,
 'num_folds': 1,
 'num_lrs': 1,
 'num_tasks': 1,
 'num_workers': 8,
 'number_of_molecules': 1,
 'overwrite_default_atom_features': False,
 'overwrite_default_bond_features': False,
 'phase_features_path': None,
 'pytorch_seed': 0,
 'quiet': False,
 'reaction': True,
 'reaction_mode': 'reac_diff',
 'reaction_solvent': False,
 'resume_experiment': False,
 'save_dir': './models_ts/GCN_solv1',
 'save_preds': False,
 'save_smiles_splits': False,
 'seed': 0,
 'separate_test_atom_descriptors_path': None,
 'separate_test_bond_descriptors_path': None,
 'separate_test_constraints_path': None,
 'separate_test_features_path': None,
 'separate_test_path': './data/MPNN_data/GCN_data_test.csv',
 'separate_test_phase_features_path': None,
 'separate_val_atom_descriptors_path': None,
 'separate_val_bond_descriptors_path': None,
 'separate_val_constraints_path': None,
 'separate_val_features_path': None,
 'separate_val_path': './data/MPNN_data/GCN_data_val.csv',
 'separate_val_phase_features_path': None,
 'shared_atom_bond_ffn': True,
 'show_individual_scores': False,
 'smiles_columns': ['reaction'],
 'spectra_activation': 'exp',
 'spectra_phase_mask_path': None,
 'spectra_target_floor': 1e-08,
 'split_key_molecule': 0,
 'split_sizes': [1.0, 0.0, 0.0],
 'split_type': 'random',
 'target_columns': ['solv1'],
 'target_weights': None,
 'task_names': ['solv1'],
 'test': False,
 'test_fold_index': None,
 'train_data_size': None,
 'undirected': False,
 'use_input_features': False,
 'val_fold_index': None,
 'warmup_epochs': 2.0,
 'weights_ffn_num_layers': 2}
Setting molecule featurization parameters to default.
Loading data
Number of tasks = 1
Fold 0
Splitting data with seed 0
Total size = 613,051 | train size = 613,051 | val size = 38,909 | test size = 38,909
Building model 0
MoleculeModel(
  (multiclass_softmax): Softmax(dim=2)
  (encoder): MPN(
    (encoder): ModuleList(
      (0): MPNEncoder(
        (dropout): Dropout(p=0.0, inplace=False)
        (act_func): ReLU()
        (W_i): Linear(in_features=193, out_features=300, bias=False)
        (W_h): Linear(in_features=300, out_features=300, bias=False)
        (W_o): Linear(in_features=465, out_features=300, bias=True)
      )
    )
  )
  (readout): Sequential(
    (0): Dropout(p=0.0, inplace=False)
    (1): Linear(in_features=300, out_features=300, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.0, inplace=False)
    (4): Linear(in_features=300, out_features=542, bias=True)
  )
)
Number of parameters = 541,442
Moving model to cuda
Epoch 0
Loss = 5.5928e+00, PNorm = 39.7925, GNorm = 7.7474, lr_0 = 1.0040e-04
Loss = 4.2738e+00, PNorm = 39.8039, GNorm = 10.1537, lr_0 = 1.0077e-04
Loss = 2.3431e+00, PNorm = 39.8219, GNorm = 5.4559, lr_0 = 1.0114e-04
Loss = 1.4782e+00, PNorm = 39.8365, GNorm = 4.7708, lr_0 = 1.0150e-04
Loss = 1.3847e+00, PNorm = 39.8389, GNorm = 3.2943, lr_0 = 1.0187e-04
Loss = 1.2058e+00, PNorm = 39.8386, GNorm = 1.2455, lr_0 = 1.0224e-04
Loss = 1.2625e+00, PNorm = 39.8419, GNorm = 1.9484, lr_0 = 1.0261e-04
Loss = 1.0780e+00, PNorm = 39.8495, GNorm = 1.6000, lr_0 = 1.0297e-04
Loss = 1.1340e+00, PNorm = 39.8587, GNorm = 4.2605, lr_0 = 1.0334e-04
Loss = 1.1481e+00, PNorm = 39.8667, GNorm = 2.0192, lr_0 = 1.0371e-04
Loss = 1.0033e+00, PNorm = 39.8763, GNorm = 1.6923, lr_0 = 1.0407e-04
Loss = 1.0286e+00, PNorm = 39.8859, GNorm = 3.8301, lr_0 = 1.0444e-04
Loss = 9.5540e-01, PNorm = 39.8941, GNorm = 1.7816, lr_0 = 1.0481e-04
Loss = 8.6512e-01, PNorm = 39.9028, GNorm = 1.7035, lr_0 = 1.0517e-04
Loss = 1.0186e+00, PNorm = 39.9101, GNorm = 1.1476, lr_0 = 1.0554e-04
Loss = 9.1867e-01, PNorm = 39.9198, GNorm = 4.4758, lr_0 = 1.0591e-04
Loss = 9.0816e-01, PNorm = 39.9306, GNorm = 1.4273, lr_0 = 1.0628e-04
Loss = 8.8426e-01, PNorm = 39.9411, GNorm = 2.1375, lr_0 = 1.0664e-04
Loss = 8.4438e-01, PNorm = 39.9485, GNorm = 2.0787, lr_0 = 1.0701e-04
Loss = 8.1317e-01, PNorm = 39.9570, GNorm = 1.8867, lr_0 = 1.0738e-04
Loss = 9.5843e-01, PNorm = 39.9668, GNorm = 1.9675, lr_0 = 1.0774e-04
Loss = 9.2298e-01, PNorm = 39.9772, GNorm = 1.4128, lr_0 = 1.0811e-04
Loss = 8.7307e-01, PNorm = 39.9869, GNorm = 2.3485, lr_0 = 1.0848e-04
Loss = 9.2365e-01, PNorm = 39.9978, GNorm = 3.4142, lr_0 = 1.0885e-04
Loss = 9.5441e-01, PNorm = 40.0103, GNorm = 4.3943, lr_0 = 1.0921e-04
Loss = 9.1646e-01, PNorm = 40.0216, GNorm = 2.6468, lr_0 = 1.0958e-04
Loss = 9.8225e-01, PNorm = 40.0314, GNorm = 3.6928, lr_0 = 1.0995e-04
Loss = 7.1805e-01, PNorm = 40.0418, GNorm = 1.4563, lr_0 = 1.1031e-04
Loss = 9.3078e-01, PNorm = 40.0471, GNorm = 2.9601, lr_0 = 1.1068e-04
Loss = 8.8794e-01, PNorm = 40.0562, GNorm = 2.8825, lr_0 = 1.1105e-04
Loss = 1.0031e+00, PNorm = 40.0649, GNorm = 3.5955, lr_0 = 1.1141e-04
Loss = 9.3950e-01, PNorm = 40.0764, GNorm = 4.6126, lr_0 = 1.1178e-04
Loss = 8.7221e-01, PNorm = 40.0874, GNorm = 2.5083, lr_0 = 1.1215e-04
Loss = 1.0255e+00, PNorm = 40.0974, GNorm = 1.7142, lr_0 = 1.1252e-04
Loss = 8.7582e-01, PNorm = 40.1087, GNorm = 2.0363, lr_0 = 1.1288e-04
Loss = 7.7687e-01, PNorm = 40.1205, GNorm = 1.6756, lr_0 = 1.1325e-04
Loss = 1.0356e+00, PNorm = 40.1310, GNorm = 1.6920, lr_0 = 1.1362e-04
Loss = 8.3063e-01, PNorm = 40.1449, GNorm = 1.7621, lr_0 = 1.1398e-04
Loss = 8.2564e-01, PNorm = 40.1554, GNorm = 2.5751, lr_0 = 1.1435e-04
Loss = 7.6923e-01, PNorm = 40.1661, GNorm = 1.2381, lr_0 = 1.1472e-04
Loss = 8.3320e-01, PNorm = 40.1728, GNorm = 5.2673, lr_0 = 1.1508e-04
Loss = 8.7321e-01, PNorm = 40.1817, GNorm = 1.6045, lr_0 = 1.1545e-04
Loss = 9.1749e-01, PNorm = 40.1950, GNorm = 3.0883, lr_0 = 1.1582e-04
Loss = 9.3353e-01, PNorm = 40.2071, GNorm = 4.0345, lr_0 = 1.1619e-04
Loss = 7.5929e-01, PNorm = 40.2199, GNorm = 2.5431, lr_0 = 1.1655e-04
Loss = 8.8397e-01, PNorm = 40.2292, GNorm = 2.1941, lr_0 = 1.1692e-04
Loss = 9.2850e-01, PNorm = 40.2407, GNorm = 1.6341, lr_0 = 1.1729e-04
Loss = 7.6588e-01, PNorm = 40.2528, GNorm = 2.0275, lr_0 = 1.1765e-04
