dataset,uspto_50k
use_rxn_class,False
atom_message,False
use_attn,False
n_heads,8
epochs,150
mpn_size,256
depth,10
dropout_mpn,0.15
mlp_size,512
dropout_mlp,0.2
lr,0.001
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,6
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
1,0.2842,0.3758,0.5818,0.9173
2,0.3883,0.4164,0.6144,0.5519
3,0.4183,0.4364,0.6283,0.4977
4,0.4359,0.4432,0.6351,0.4681
5,0.4493,0.4686,0.6615,0.4469
6,0.4588,0.474,0.6623,0.4317
7,0.4709,0.4816,0.6709,0.4163
8,0.4793,0.483,0.6661,0.4035
9,0.4842,0.49,0.6765,0.3952
10,0.4949,0.488,0.6759,0.3861
11,0.5009,0.487,0.6747,0.3784
12,0.5053,0.4956,0.6835,0.3699
13,0.5121,0.4966,0.6775,0.3653
14,0.5118,0.4992,0.6831,0.3601
15,0.5195,0.5084,0.6889,0.3572
16,0.523,0.5008,0.6881,0.3499
17,0.5255,0.516,0.6915,0.346
18,0.5283,0.5082,0.6919,0.343
19,0.5316,0.5036,0.6843,0.3389
20,0.5313,0.51,0.6883,0.3391
21,0.5331,0.5076,0.6879,0.3357
22,0.553,0.513,0.6947,0.313
23,0.5581,0.5248,0.7003,0.3057
24,0.5597,0.5218,0.7011,0.3035
25,0.5665,0.5112,0.6921,0.2983
26,0.5674,0.5132,0.7009,0.2972
27,0.5697,0.5284,0.7001,0.2964
28,0.576,0.5182,0.6979,0.2915
29,0.5767,0.5224,0.7007,0.2889
30,0.5914,0.5312,0.7051,0.2723
31,0.5979,0.5318,0.7049,0.2674
32,0.5992,0.5368,0.7061,0.267
33,0.6034,0.5332,0.7027,0.2607
34,0.6051,0.5274,0.7017,0.2599
35,0.6078,0.5308,0.7049,0.2556
36,0.6128,0.5286,0.7013,0.2541
37,0.6111,0.5362,0.7063,0.2624
38,0.6161,0.528,0.6971,0.2493
39,0.6339,0.5238,0.7013,0.2358
40,0.6352,0.532,0.7019,0.2326
41,0.6385,0.531,0.7037,0.2292
42,0.643,0.5284,0.6973,0.226
43,0.6427,0.5334,0.7057,0.2251
44,0.6432,0.529,0.7021,0.2253
45,0.6563,0.5436,0.7101,0.2136
46,0.661,0.5374,0.7067,0.2079
47,0.6644,0.538,0.7079,0.2046
48,0.6669,0.539,0.7079,0.2046
49,0.6705,0.5372,0.7065,0.2021
50,0.6727,0.5286,0.7017,0.1999
51,0.6844,0.5402,0.7041,0.1921
52,0.6892,0.5392,0.7097,0.1872
53,0.6901,0.5388,0.7051,0.1853
54,0.6953,0.5346,0.7077,0.1833
55,0.6943,0.5364,0.7053,0.183
56,0.6974,0.5424,0.7081,0.1806
57,0.7022,0.5388,0.7089,0.1743
58,0.7098,0.5364,0.7079,0.1718
59,0.7131,0.5384,0.7043,0.1693
60,0.7121,0.5432,0.7107,0.1687
61,0.718,0.544,0.7097,0.1659
62,0.7194,0.5464,0.7103,0.1644
63,0.7242,0.541,0.7143,0.1605
64,0.7281,0.5402,0.7081,0.1581
65,0.7292,0.5394,0.7059,0.1566
66,0.7315,0.5422,0.7071,0.1552
67,0.734,0.5434,0.7107,0.1541
68,0.7342,0.5396,0.7061,0.1535
69,0.7427,0.5406,0.7079,0.1474
70,0.7421,0.542,0.7097,0.1481
71,0.7447,0.5418,0.7075,0.1469
72,0.7483,0.5434,0.7105,0.1447
73,0.748,0.5418,0.7109,0.1458
74,0.7513,0.5454,0.7099,0.1434
75,0.7574,0.5428,0.7091,0.1378
76,0.7549,0.5464,0.7115,0.1395
77,0.7599,0.5444,0.7107,0.1362
78,0.7592,0.5454,0.7107,0.1373
79,0.7582,0.5476,0.7099,0.1362
80,0.765,0.5456,0.7089,0.1342
81,0.7621,0.5412,0.7095,0.1342
82,0.762,0.544,0.7125,0.1343
83,0.7644,0.5454,0.7091,0.1329
84,0.7682,0.543,0.7075,0.1318
85,0.7661,0.5424,0.7081,0.1319
86,0.7688,0.5452,0.7119,0.1301
87,0.7724,0.5432,0.7107,0.1289
88,0.7739,0.5418,0.7099,0.1278
89,0.7739,0.5472,0.7129,0.1276
90,0.775,0.5438,0.7115,0.1263
91,0.7772,0.5432,0.7107,0.1255
92,0.7822,0.5426,0.7079,0.123
93,0.7829,0.5418,0.7097,0.1222
94,0.7836,0.5454,0.7109,0.1221
95,0.78,0.5506,0.7151,0.1231
96,0.782,0.5452,0.7109,0.121
97,0.7852,0.5484,0.7119,0.1206
98,0.7869,0.5452,0.7121,0.1187
99,0.7875,0.545,0.7109,0.1182
100,0.789,0.5478,0.7151,0.1172
101,0.7889,0.5496,0.7147,0.118
102,0.789,0.5482,0.7153,0.1171
103,0.7914,0.547,0.7127,0.1168
104,0.7911,0.5474,0.7127,0.1153
105,0.7931,0.5478,0.7115,0.1141
106,0.7955,0.5492,0.7121,0.1136
107,0.7939,0.5472,0.7133,0.1139
108,0.7956,0.5488,0.7117,0.1138
109,0.7979,0.5474,0.7151,0.1138
110,0.7977,0.546,0.7131,0.1116
111,0.7968,0.5464,0.7145,0.1126
112,0.7981,0.5472,0.7155,0.1119
113,0.8014,0.5482,0.7127,0.1098
114,0.7974,0.5502,0.7157,0.112
115,0.7995,0.5454,0.7125,0.1112
116,0.8026,0.547,0.7135,0.1107
117,0.8021,0.5488,0.7149,0.1103
118,0.8016,0.5454,0.7097,0.1106
119,0.8034,0.546,0.7115,0.1074
120,0.8026,0.546,0.7131,0.1085
121,0.8003,0.5442,0.7113,0.1095
122,0.8049,0.5502,0.7135,0.1081
123,0.803,0.5492,0.7139,0.108
124,0.8096,0.5476,0.7109,0.1064
125,0.8049,0.5474,0.7147,0.1082
126,0.8051,0.55,0.7165,0.1078
127,0.8066,0.5522,0.7159,0.1062
128,0.8052,0.5506,0.7149,0.1061
129,0.8063,0.5504,0.7171,0.1075
130,0.8059,0.552,0.7171,0.1068
131,0.8053,0.5468,0.7111,0.1068
132,0.8106,0.549,0.7135,0.1048
133,0.8077,0.5486,0.7155,0.1055
134,0.8081,0.5484,0.7151,0.1054
135,0.8075,0.5448,0.7133,0.1053
136,0.8084,0.5474,0.7141,0.1055
137,0.8122,0.551,0.7157,0.1045
138,0.8088,0.5496,0.7155,0.1057
139,0.8099,0.5484,0.7137,0.105
140,0.8068,0.5492,0.7153,0.1054
141,0.8105,0.5492,0.7143,0.104
142,0.8114,0.5486,0.7121,0.1033
143,0.8126,0.5474,0.7111,0.104
144,0.8106,0.5462,0.7099,0.104
145,0.8105,0.545,0.7117,0.1033
146,0.8119,0.5474,0.7135,0.1028
147,0.8112,0.5476,0.7145,0.1037
148,0.8135,0.547,0.7151,0.1024
149,0.8119,0.5462,0.7105,0.1041
150,0.8129,0.548,0.7123,0.1042
